Num,sheet_id,page,slot,slot_name,image_path,char,yomi,style,note,set,,,
89,松閒照新月_3,18,3,right_bottom,data/images/KAI_p018_03.png,照,しょう,楷書,,松閒照新月,X,87,O
90,松閒照新月_4,18,4,left_top,data/images/KAI_p018_04.png,新,しん,楷書,,松閒照新月,X,87,O
91,松閒照新月_5,18,5,left_middle,data/images/KAI_p018_05.png,月,がつ,楷書,,松閒照新月,X,87,O
92,言温而氣和_1,19,1,right_top,data/images/KAI_p019_01.png,言,げん,楷書,,言温而氣和,O,92,O
93,言温而氣和_2,19,2,right_middle,data/images/KAI_p019_02.png,温,おん,楷書,,言温而氣和,O,92,O
94,言温而氣和_3,19,3,right_bottom,data/images/KAI_p019_03.png,而,じ,楷書,,言温而氣和,O,92,O
95,言温而氣和_4,19,4,left_top,data/images/KAI_p019_04.png,氣,き,楷書,気,言温而氣和,O,92,O
96,言温而氣和_5,19,5,left_middle,data/images/KAI_p019_05.png,和,わ,楷書,,言温而氣和,O,92,O
97,髙潔雲入情_1,20,1,right_top,data/images/KAI_p020_01.png,髙,たか,楷書,高,髙潔雲入情,O,97,O
98,髙潔雲入情_2,20,2,right_middle,data/images/KAI_p020_02.png,潔,きよし,楷書,,髙潔雲入情,O,97,O
99,髙潔雲入情_3,20,3,right_bottom,data/images/KAI_p020_03.png,雲,くも,楷書,,髙潔雲入情,O,97,O
100,髙潔雲入情_4,20,4,left_top,data/images/KAI_p020_04.png,入,にゅう,楷書,,髙潔雲入情,O,97,O
101,髙潔雲入情_5,20,5,left_middle,data/images/KAI_p020_05.png,情,じょう,楷書,,髙潔雲入情,O,97,O
102,陽暉爍四野_1,21,1,right_top,data/images/KAI_p021_01.png,陽,よう,楷書,,陽暉爍四野,O,102,O
103,陽暉爍四野_2,21,2,right_middle,data/images/KAI_p021_02.png,暉,き,楷書,,陽暉爍四野,O,102,O
104,陽暉爍四野_3,21,3,right_bottom,data/images/KAI_p021_03.png,爍,しゃく,楷書,,陽暉爍四野,O,102,O
105,陽暉爍四野_4,21,4,left_top,data/images/KAI_p021_04.png,四,し,楷書,,陽暉爍四野,O,102,O
106,陽暉爍四野_5,21,5,left_middle,data/images/KAI_p021_05.png,野,の,楷書,,陽暉爍四野,O,102,O
107,太和呈景運_1,22,1,right_top,data/images/KAI_p022_01.png,太,た,楷書,,太和呈景運,O,107,O
108,太和呈景運_2,22,2,right_middle,data/images/KAI_p022_02.png,和,わ,楷書,,太和呈景運,O,107,O
109,太和呈景運_3,22,3,right_bottom,data/images/KAI_p022_03.png,呈,てい,楷書,,太和呈景運,O,107,O
110,太和呈景運_4,22,4,left_top,data/images/KAI_p022_04.png,景,けい,楷書,,太和呈景運,O,107,O
111,太和呈景運_5,22,5,left_middle,data/images/KAI_p022_05.png,運,うん,楷書,,太和呈景運,O,107,O
112,陽暉爍四野_1,23,1,right_top,data/images/KAI_p023_01.png,陽,よう,楷書,,陽暉爍四野,O,102,X
113,陽暉爍四野_2,23,2,right_middle,data/images/KAI_p023_02.png,暉,き,楷書,,陽暉爍四野,O,102,X
114,陽暉爍四野_3,23,3,right_bottom,data/images/KAI_p023_03.png,爍,しゃく,楷書,,陽暉爍四野,O,102,X
115,陽暉爍四野_4,23,4,left_top,data/images/KAI_p023_04.png,四,し,楷書,,陽暉爍四野,O,102,X
116,陽暉爍四野_5,23,5,left_middle,data/images/KAI_p023_05.png,野,の,楷書,,陽暉爍四野,O,102,X
117,烟雲冷硯池_1,24,1,right_top,data/images/KAI_p024_01.png,烟,けむり,楷書,,烟雲冷硯池,X,117,O
118,烟雲冷硯池_2,24,2,right_middle,data/images/KAI_p024_02.png,雲,くも,楷書,,烟雲冷硯池,X,117,O
119,烟雲冷硯池_3,24,3,right_bottom,data/images/KAI_p024_03.png,冷,れい,楷書,,烟雲冷硯池,X,117,O
120,烟雲冷硯池_4,24,4,left_top,data/images/KAI_p024_04.png,硯,すずり,楷書,,烟雲冷硯池,X,117,O
121,烟雲冷硯池_5,24,5,left_middle,data/images/KAI_p024_05.png,池,いけ,楷書,,烟雲冷硯池,X,117,O
122,雁字寫秋雲_1,25,1,right_top,data/images/KAI_p025_01.png,雁,がん,楷書,,雁字寫秋雲,X,122,O
123,雁字寫秋雲_2,25,2,right_middle,data/images/KAI_p025_02.png,字,じ,楷書,,雁字寫秋雲,X,122,O
124,雁字寫秋雲_3,25,3,right_bottom,data/images/KAI_p025_03.png,寫,しゃ,楷書,写,雁字寫秋雲,X,122,O
125,雁字寫秋雲_4,25,4,left_top,data/images/KAI_p025_04.png,秋,あき,楷書,,雁字寫秋雲,X,122,O
126,雁字寫秋雲_5,25,5,left_middle,data/images/KAI_p025_05.png,雲,くも,楷書,,雁字寫秋雲,X,122,O
127,禅房花木深_1,26,1,right_top,data/images/KAI_p026_01.png,禅,ぜん,楷書,,禅房花木深,X,127,O
128,禅房花木深_2,26,2,right_middle,data/images/KAI_p026_02.png,房,ぼう,楷書,,禅房花木深,X,127,O
129,禅房花木深_3,26,3,right_bottom,data/images/KAI_p026_03.png,花,はな,楷書,,禅房花木深,X,127,O
130,禅房花木深_4,26,4,left_top,data/images/KAI_p026_04.png,木,き,楷書,,禅房花木深,X,127,O
131,禅房花木深_5,26,5,left_middle,data/images/KAI_p026_05.png,深,しん,楷書,,禅房花木深,X,127,O
132,葉落楓千樹_1,27,1,right_top,data/images/KAI_p027_01.png,葉,は,楷書,,葉落楓千樹,X,132,O
133,葉落楓千樹_2,27,2,right_middle,data/images/KAI_p027_02.png,落,らく,楷書,,葉落楓千樹,X,132,O
134,葉落楓千樹_3,27,3,right_bottom,data/images/KAI_p027_03.png,楓,もみじ,楷書,,葉落楓千樹,X,132,O
135,葉落楓千樹_4,27,4,left_top,data/images/KAI_p027_04.png,千,せん,楷書,,葉落楓千樹,X,132,O
136,葉落楓千樹_5,27,5,left_middle,data/images/KAI_p027_05.png,樹,き,楷書,,葉落楓千樹,X,132,O
137,髙潔雲入情_1,28,1,right_top,data/images/KAI_p028_01.png,髙,たか,楷書,高,髙潔雲入情,O,97,X
138,髙潔雲入情_2,28,2,right_middle,data/images/KAI_p028_02.png,潔,きよし,楷書,,髙潔雲入情,O,97,X
139,髙潔雲入情_3,28,3,right_bottom,data/images/KAI_p028_03.png,雲,くも,楷書,,髙潔雲入情,O,97,X
140,髙潔雲入情_4,28,4,left_top,data/images/KAI_p028_04.png,入,にゅう,楷書,,髙潔雲入情,O,97,X
141,髙潔雲入情_5,28,5,left_middle,data/images/KAI_p028_05.png,情,じょう,楷書,,髙潔雲入情,O,97,X
142,蒲酒話昇平_1,29,1,right_top,data/images/KAI_p029_01.png,蒲,かま,楷書,,蒲酒話昇平,X,142,O
143,蒲酒話昇平_2,29,2,right_middle,data/images/KAI_p029_02.png,酒,さけ,楷書,,蒲酒話昇平,X,142,O
144,蒲酒話昇平_3,29,3,right_bottom,data/images/KAI_p029_03.png,話,はなし,楷書,,蒲酒話昇平,X,142,O
145,蒲酒話昇平_4,29,4,left_top,data/images/KAI_p029_04.png,昇,のぼる,楷書,,蒲酒話昇平,X,142,O
146,蒲酒話昇平_5,29,5,left_middle,data/images/KAI_p029_05.png,平,たいら,楷書,,蒲酒話昇平,X,142,O
147,雅意在丘壁_1,30,1,right_top,data/images/KAI_p030_01.png,雅,まさ,楷書,,雅意在丘壁,X,147,O
148,雅意在丘壁_2,30,2,right_middle,data/images/KAI_p030_02.png,意,い,楷書,,雅意在丘壁,X,147,O
149,雅意在丘壁_3,30,3,right_bottom,data/images/KAI_p030_03.png,在,ざい,楷書,,雅意在丘壁,X,147,O
150,雅意在丘壁_4,30,4,left_top,data/images/KAI_p030_04.png,丘,おか,楷書,,雅意在丘壁,X,147,O
151,雅意在丘壁_5,30,5,left_middle,data/images/KAI_p030_05.png,壁,かべ,楷書,,雅意在丘壁,X,147,O
152,明月輝林道_1,31,1,right_top,data/images/KAI_p031_01.png,明,めい,楷書,,明月輝林道,X,152,O
153,明月輝林道_2,31,2,right_middle,data/images/KAI_p031_02.png,月,がつ,楷書,,明月輝林道,X,152,O
154,明月輝林道_3,31,3,right_bottom,data/images/KAI_p031_03.png,輝,てる,楷書,,明月輝林道,X,152,O
155,明月輝林道_4,31,4,left_top,data/images/KAI_p031_04.png,林,はやし,楷書,,明月輝林道,X,152,O
156,明月輝林道_5,31,5,left_middle,data/images/KAI_p031_05.png,道,みち,楷書,,明月輝林道,X,152,O
157,心正則筆正_1,32,1,right_top,data/images/KAI_p032_01.png,心,こころ,楷書,,心正則筆正,X,157,O
158,心正則筆正_2,32,2,right_middle,data/images/KAI_p032_02.png,正,せい,楷書,,心正則筆正,X,157,O
159,心正則筆正_3,32,3,right_bottom,data/images/KAI_p032_03.png,則,のり,楷書,,心正則筆正,X,157,O
160,心正則筆正_4,32,4,left_top,data/images/KAI_p032_04.png,筆,ふで,楷書,,心正則筆正,X,157,O
161,心正則筆正_5,32,5,left_middle,data/images/KAI_p032_05.png,正,せい,楷書,,心正則筆正,X,157,O
162,昇平多楽事_1,33,1,right_top,data/images/KAI_p033_01.png,昇,のぼる,楷書,,昇平多楽事,O,162,O
163,昇平多楽事_2,33,2,right_middle,data/images/KAI_p033_02.png,平,たいら,楷書,,昇平多楽事,O,162,O
164,昇平多楽事_3,33,3,right_bottom,data/images/KAI_p033_03.png,多,た,楷書,,昇平多楽事,O,162,O
165,昇平多楽事_4,33,4,left_top,data/images/KAI_p033_04.png,楽,らく,楷書,,昇平多楽事,O,162,O
166,昇平多楽事_5,33,5,left_middle,data/images/KAI_p033_05.png,事,こと,楷書,,昇平多楽事,O,162,O
167,野菊淡秋心_1,34,1,right_top,data/images/KAI_p034_01.png,野,の,楷書,,野菊淡秋心,O,167,O
168,野菊淡秋心_2,34,2,right_middle,data/images/KAI_p034_02.png,菊,きく,楷書,,野菊淡秋心,O,167,O
169,野菊淡秋心_3,34,3,right_bottom,data/images/KAI_p034_03.png,淡,たん,楷書,,野菊淡秋心,O,167,O
170,野菊淡秋心_4,34,4,left_top,data/images/KAI_p034_04.png,秋,あき,楷書,,野菊淡秋心,O,167,O
171,野菊淡秋心_5,34,5,left_middle,data/images/KAI_p034_05.png,心,こころ,楷書,,野菊淡秋心,O,167,O
172,萬歳寿而康_1,35,1,right_top,data/images/KAI_p035_01.png,萬,まん,楷書,,萬歳寿而康,X,172,O
173,萬歳寿而康_2,35,2,right_middle,data/images/KAI_p035_02.png,歳,とし,楷書,,萬歳寿而康,X,172,O
174,萬歳寿而康_3,35,3,right_bottom,data/images/KAI_p035_03.png,寿,ひさし,楷書,,萬歳寿而康,X,172,O
175,萬歳寿而康_4,35,4,left_top,data/images/KAI_p035_04.png,而,じ,楷書,,萬歳寿而康,X,172,O
